id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50109471,Boutique and Beautiful Bristol Apartment,152788806,Pass The Property,,Ashley,51.46682,-2.58954,Entire home/apt,115,2,7,2021/10/11,2.28,11,32,7,
50111767,Studio Apartment in Easton Bristol,90684209,Neil,,Easton,51.46931,-2.56501,Entire home/apt,83,2,4,2021/10/7,0.94,14,343,4,
50142805,Spare room - Gloucester Road & Southmead hospital,31872778,Claire,,Horfield,51.49396,-2.58664,Private room,38,1,3,2021/9/18,0.66,1,6,3,
50164199,Charming flat with private patio in Clifton,404843870,Caroline,,Clifton,51.45845,-2.62347,Entire home/apt,107,1,11,2021/10/1,2.44,1,289,11,
50167938,Beautiful family home with garden in Bishopston,5208349,Amanda,,Bishopston & Ashley Down,51.4826,-2.58889,Entire home/apt,180,4,0,,,1,57,0,
50209017,Lovely double room in a clean and spacious house.,101023230,Arusha,,Brislington West,51.44584,-2.55441,Private room,38,1,18,2021/10/22,3.91,1,0,18,
50236114,"Jungle eco-house room, Greenbank",8521301,Zowie,,Easton,51.46723,-2.55147,Private room,45,2,14,2021/8/30,4.12,2,112,14,
50237273,"Jungle eco-house room 2, Greenbank",8521301,Zowie,,Eastville,51.46917,-2.55155,Private room,40,2,7,2021/8/30,2.41,2,112,7,
50238409,"(F1) Smart Central Flat, PARKING sleeps 2 to 4",396199459,Donny Thomas,,Ashley,51.46151,-2.58529,Entire home/apt,111,2,12,2021/10/18,4.24,9,324,12,
50240578,Stunning Clifton flat in amazing central location,405588386,Yolanta,,Clifton Down,51.46338,-2.60616,Entire home/apt,118,1,15,2021/9/13,3.52,1,309,15,
50247154,Bristol Christmas! 2-Bed House w/free parking ï¿½ï¿½ï¿½,38726604,Lucy,,Stoke Bishop,51.48492,-2.64961,Entire home/apt,195,14,1,2021/9/11,0.67,1,32,1,
50273140,Cosy Clifton Flat in Grade II listed building,51164009,Charlie,,Clifton Down,51.4687,-2.61599,Entire home/apt,85,4,0,,,1,213,0,
50281651,"Lovely king bedroom+Private bathroom, city centre",405948865,Roberto,,Ashley,51.46239,-2.58499,Private room,79,1,11,2021/10/3,3,1,58,11,
50298276,Bright double room in stylish townhouse,34347555,Rebecca,,Brislington East,51.43626,-2.54853,Private room,39,1,14,2021/9/17,3.89,2,0,14,
50314771,4/41 Double bedroom in a shared flat,275250241,Renan,,Clifton Down,51.45861,-2.61115,Private room,48,1,12,2021/7/22,2.79,9,289,12,
50319498,Large 2BD House with Garden in Bristol,392947179,James,,Bishopsworth,51.42909,-2.61092,Entire home/apt,155,2,6,2021/9/19,2.02,2,256,6,
50321712,Double room in Georgian Flat with amazing view,24786957,Wayne,,Clifton Down,51.46694,-2.61473,Private room,105,1,1,2021/7/11,0.28,1,176,1,
50336157,Stunning 3 Bedroom Queen Square Apartment,76074723,Dave,,Central,51.44942,-2.59416,Entire home/apt,98,2,2,2021/10/15,2,3,45,2,
50342413,"Bright and Modern House in Bedminster, Bristol.",103798298,Holly,,Filwood,51.43091,-2.60339,Entire home/apt,150,7,2,2021/8/15,0.49,1,135,2,
50363135,"Beautiful 4/5bedroom house in Bishopston, Bristol",13367631,Hannah,,Redland,51.47452,-2.59407,Entire home/apt,150,4,0,,,1,59,0,
50378301,Stylish House ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ Short walk - park & Gl,191249657,Kate,,Bishopston & Ashley Down,51.48435,-2.59327,Entire home/apt,118,1,29,2021/9/1,10.12,1,313,29,
50396547,St werburghï¿½ï,407120628,Phil,,Ashley,51.46916,-2.57061,Private room,86,1,9,2021/10/10,3.1,2,176,9,
